Regression,Test MSE,Test RMSE,Test MAE,Test R2
LightGBM,286208.43116101593,534.9845148796514,282.79282580110254,0.9821260472460828
XGBoost,437379.05303851183,661.3463941373777,364.1662494719301,0.9726853171381059
CatBoost,278919.20002294873,528.128014806021,279.82208586242825,0.9825812657469694
Linear Regression,1873827.4373929626,1368.8781674761865,862.2420481707683,0.8829779299334718
Support Vector Machine,7579752.625996593,2753.1350540786393,1333.3001788613603,0.5266381924045275
RandomForest,287743.5971281396,536.4173721349259,266.000070163203,0.9820301748643557
DecisionTree,536750.6984921518,732.6327173230471,351.9123717711037,0.9664794758611306
AdaBoost,1693527.9731979629,1301.3562053480834,963.0235718897736,0.8942377802862553
